genus,genus_lower,observed_in_canada,ectomycorrhiza_lineage_template,ectomycorrhiza_exploration_type_template
Polyozellus,polyozellus,TRUE,/pseudotomentella,medium-distance_smooth
Pseudotomentella,pseudotomentella,TRUE,/pseudotomentella,medium-distance_smooth
Riessia,riessia,FALSE,/tomentella-thelephora,medium-distance_smooth
Riessiella,riessiella,FALSE,/tomentella-thelephora,medium-distance_smooth
Thelephora,thelephora,TRUE,/tomentella-thelephora,medium-distance_smooth
Tomentella,tomentella,TRUE,/tomentella-thelephora,medium-distance_smooth
Tomentellopsis,tomentellopsis,TRUE,/tomentellopsis,medium-distance_smooth
Tremellodendropsis,tremellodendropsis,TRUE,/tremellodendropsis_(/agaricomycetes1),short-distance_delicate
Densospora,densospora,TRUE,/densospora,short-distance_delicate
Jimgerdemannia,jimgerdemannia,TRUE,/endogone1,short-distance_delicate
Sclerogone,sclerogone,FALSE,/endogone2,short-distance_delicate
