species,n_locations,dataset
Russula_graminea,5,GenBank
Russula_grata,5,GenBank
Russula_ornaticeps,5,GenBank
Russula_salishensis,5,GenBank
Russula_subrubescens,5,GenBank
Russula_viridella,5,GenBank
Thaxterogaster_talus,5,GenBank
Tricholoma_aestuans,5,GenBank
Tricholoma_caligatum,5,GenBank
Tricholoma_dulciolens,5,GenBank
Tricholoma_olivaceum,5,GenBank
Tricholoma_stans,5,GenBank
Alnicola_sphagneti,4,GenBank
Amanita_pseudopantherina,4,GenBank
Amanita_spadicea,4,GenBank
Boletus_fibrillosus,4,GenBank
Cortinarius_armeniacus,4,GenBank
Cortinarius_biformis,4,GenBank
Cortinarius_bolaris,4,GenBank
Cortinarius_clintonianus,4,GenBank
Cortinarius_ferrei,4,GenBank
Cortinarius_hadrocroceus,4,GenBank
Cortinarius_hirtipes,4,GenBank
Cortinarius_illitus,4,GenBank
Cortinarius_imbutus,4,GenBank
Cortinarius_laniger,4,GenBank
Cortinarius_montebelloensis,4,GenBank
Cortinarius_privignipallens,4,GenBank
Cortinarius_rusticus,4,GenBank
Cortinarius_saginus,4,GenBank
Inocybe_hystrix,4,GenBank
Inocybe_inodora,4,GenBank
Inocybe_sororia,4,GenBank
Laccaria_populina,4,GenBank
Lactarius_vietus,4,GenBank
Piloderma_olivaceum,4,GenBank
Rhizopogon_parksii,4,GenBank
Russula_fulvescens,4,GenBank
Russula_garyensis,4,GenBank
Russula_mordax,4,GenBank
Russula_obscurozelleri,4,GenBank
Russula_ochroleucoides,4,GenBank
Russula_pallescens,4,GenBank
Russula_phoenicea,4,GenBank
Russula_postiana,4,GenBank
Russula_pseudolepida,4,GenBank
Russula_pulchra,4,GenBank
Suillus_cavipes,4,GenBank
Suillus_lakei,4,GenBank
Tomentella_terrestris,4,GenBank
Tricholoma_albobrunneum,4,GenBank
Tricholoma_ammophilum,4,GenBank
Tricholoma_atrodiscus,4,GenBank
Tricholoma_davisiae,4,GenBank
Tricholoma_grave,4,GenBank
Tricholoma_odorum,4,GenBank
Tricholoma_pullum,4,GenBank
Tricholoma_serratifolium,4,GenBank
Alnicola_spectabilis,3,GenBank
Amanita_frostiana,3,GenBank
Amanita_jacksonii,3,GenBank
Amanita_murrilliana,3,GenBank
Amanita_novinupta,3,GenBank
Amanita_ristichii,3,GenBank
Cantharellus_cibarius,3,GenBank
Cortinarius_armillatus,3,GenBank
Cortinarius_comptulus,3,GenBank
Cortinarius_danili,3,GenBank
Cortinarius_glandicolor,3,GenBank
Cortinarius_glaucopus,3,GenBank
Cortinarius_humboldtensis,3,GenBank
Cortinarius_olivaceoluteus,3,GenBank
Cortinarius_roseomyceliosus,3,GenBank
Cortinarius_spilomeus,3,GenBank
Cortinarius_subpaleaceus,3,GenBank
Helvella_compressa,3,GenBank
Hydnellum_aurantiacum,3,GenBank
Hydnum_quebecense,3,GenBank
Hygrophorus_speciosus,3,GenBank
Inocybe_albodiscoides,3,GenBank
Inocybe_dulcamara,3,GenBank
Inocybe_lampetiana,3,GenBank
Inocybe_nobilis,3,GenBank
Inocybe_obtusiuscula,3,GenBank
Inocybe_tahquamenonensis,3,GenBank
Inocybe_umbratica,3,GenBank
Inocybe_volvata,3,GenBank
Inocybe_whitei,3,GenBank
Lactarius_lignyotus,3,GenBank
Lactarius_luculentus,3,GenBank
Lactarius_pseudodeceptivus,3,GenBank
Lactarius_pseudomucidus,3,GenBank
Lactarius_repraesentaneus,3,GenBank
Mallocybe_leucoloma,3,GenBank
Myrmecocystis_microspora,3,GenBank
Piloderma_lanatum,3,GenBank
Polyozellus_mariae,3,GenBank
Polyozellus_umbrinus,3,GenBank
Rhizopogon_vesiculosus,3,GenBank
Russula_aquosa,3,GenBank
Russula_ashihoi,3,GenBank
Russula_brunneoviolacea,3,GenBank
Russula_cavipes,3,GenBank
Russula_crassipes,3,GenBank
Russula_earlei,3,GenBank
Russula_fastigiata,3,GenBank
Russula_foetentula,3,GenBank
Russula_imitatrix,3,GenBank
Russula_praeumbonata,3,GenBank
Russula_pusilla,3,GenBank
Russula_straminella,3,GenBank
Suillus_caerulescens,3,GenBank
Suillus_flavidus,3,GenBank
Suillus_variegatus,3,GenBank
Tomentella_badia,3,GenBank
Tricholoma_columbetta,3,GenBank
Tricholoma_inamoenum,3,GenBank
Tricholoma_mcneilii,3,GenBank
Tricholoma_mesoamericanum,3,GenBank
Tricholoma_stiparophyllum,3,GenBank
Tuber_anniae,3,GenBank
Tylospora_asterophora,3,GenBank
Amanita_groenlandica,2,GenBank
Amanita_multisquamosa,2,GenBank
Amanita_peckiana,2,GenBank
Amanita_phalloides,2,GenBank
Amanita_smithiana,2,GenBank
Clavulina_cinerea,2,GenBank
Cortinarius_acutovelatus,2,GenBank
Cortinarius_alboviolaceus,2,GenBank
Cortinarius_andreae,2,GenBank
Cortinarius_angelesianus,2,GenBank
Cortinarius_anomalus,2,GenBank
Cortinarius_atkinsonianus,2,GenBank
Cortinarius_atroalbus,2,GenBank
Cortinarius_aureovelatus,2,GenBank
Cortinarius_ceraceus,2,GenBank
Cortinarius_cicindela,2,GenBank
Cortinarius_corrugatus,2,GenBank
Cortinarius_decipiens,2,GenBank
Cortinarius_dolabratus,2,GenBank
Cortinarius_fructuodorus,2,GenBank
Cortinarius_gentilis,2,GenBank
Cortinarius_glabrellus,2,GenBank
Cortinarius_infractiflavus,2,GenBank
Cortinarius_kauffmanianus,2,GenBank
Cortinarius_latiodistributus,2,GenBank
Cortinarius_nigrocuspidatus,2,GenBank
Cortinarius_paragaudis,2,GenBank
Cortinarius_paralbocyaneus,2,GenBank
Cortinarius_pilatii,2,GenBank
Cortinarius_psammocola,2,GenBank
Cortinarius_purpureus,2,GenBank
Cortinarius_quarciticus,2,GenBank
Cortinarius_quercophilus,2,GenBank
Cortinarius_vernus,2,GenBank
Elaphomyces_borealis,2,GenBank
Fuscoboletinus_spectabilis,2,GenBank
Geopora_cervina,2,GenBank
Geopora_sepulta,2,GenBank
Gomphidius_maculatus,2,GenBank
Gomphidius_oregonensis,2,GenBank
Helvella_corium,2,GenBank
Helvella_vespertina,2,GenBank
Hydnellum_earlianum,2,GenBank
Hydnellum_ferrugineum,2,GenBank
Hydnum_melitosarx,2,GenBank
Hygrophorus_flavodiscus,2,GenBank
Hygrophorus_hypothejus,2,GenBank
Hygrophorus_siccipes,2,GenBank
Inocybe_agglutinata,2,GenBank
Inocybe_caprimulgi,2,GenBank
Inocybe_cincinnata,2,GenBank
Inocybe_filiana,2,GenBank
Inocybe_fuscicothurnata,2,GenBank
Inocybe_kauffmanii,2,GenBank
Inocybe_luteifolia,2,GenBank
Inocybe_malenconii,2,GenBank
Inocybe_monochroa,2,GenBank
Inocybe_napipes,2,GenBank
Inocybe_nigridisca,2,GenBank
Inocybe_rufoalba,2,GenBank
Inocybe_semifulva,2,GenBank
Inocybe_subporospora,2,GenBank
Inocybe_trochili,2,GenBank
Inocybe_zethi,2,GenBank
Lactarius_alpinus,2,GenBank
Lactarius_aquizonatus,2,GenBank
Lactarius_camphoratus,2,GenBank
Lactarius_helvus,2,GenBank
Lactarius_substriatus,2,GenBank
Lactarius_tabidus,2,GenBank
Lactifluus_deceptivus,2,GenBank
Leccinum_insigne,2,GenBank
Leccinum_rotundifoliae,2,GenBank
Leccinum_schistophilum,2,GenBank
Lyophyllum_shimeji,2,GenBank
Naucoria_scolecina,2,GenBank
Paxillus_cuprinus,2,GenBank
Phellodon_atratus,2,GenBank
Phellodon_melaleucus,2,GenBank
Ramaria_calvodistalis,2,GenBank
Ramaria_flava,2,GenBank
Ramaria_sandaracina,2,GenBank
Ramaria_stricta,2,GenBank
Rhizopogon_salebrosus,2,GenBank
Rhizopogon_vinicolor,2,GenBank
Russula_americana,2,GenBank
Russula_byssina,2,GenBank
Russula_cristulispora,2,GenBank
Russula_hypofragilis,2,GenBank
Russula_puellaris,2,GenBank
Russula_sapinea,2,GenBank
Russula_subsulphurea,2,GenBank
Russula_subtilis,2,GenBank
Russula_vesca,2,GenBank
Sebacina_incrustans,2,GenBank
Suillus_americanus,2,GenBank
Suillus_glandulosipes,2,GenBank
Suillus_sinuspaulianus,2,GenBank
Suillus_viscidus,2,GenBank
Thaxterogaster_porphyropus,2,GenBank
Tomentella_bryophila,2,GenBank
Tomentella_ellisii,2,GenBank
Tomentella_fuscocinerea,2,GenBank
Tomentella_pallidocastanea,2,GenBank
Tricholoma_acre,2,GenBank
Tricholoma_arvernense,2,GenBank
Tricholoma_badicephalum,2,GenBank
Tricholoma_borgsjoeense,2,GenBank
Tricholoma_frondosae,2,GenBank
Tricholoma_hemisulphureum,2,GenBank
Tricholoma_smithii,2,GenBank
Tricholoma_terreum,2,GenBank
Truncocolumella_citrina,2,GenBank
Albatrellus_confluens,1,GenBank
Alpova_cinnamomeus,1,GenBank
Alpova_diplophloeus,1,GenBank
Amanita_aprica,1,GenBank
Amanita_constricta,1,GenBank
Amanita_elongata,1,GenBank
Amanita_friabilis,1,GenBank
Amanita_fulvoides,1,GenBank
Amanita_lavendula,1,GenBank
Amanita_morrisii,1,GenBank
Amanita_silvicola,1,GenBank
Amanita_submaculata,1,GenBank
Astraeus_morganii,1,GenBank
Boletopsis_leucomelaena,1,GenBank
Butyriboletus_querciregius,1,GenBank
Caloboletus_rubripes,1,GenBank
Cantharellus_betularum,1,GenBank
Cantharellus_cascadensis,1,GenBank
Catathelasma_evanescens,1,GenBank
Catathelasma_ventricosum,1,GenBank
Chroogomphus_jamaicensis,1,GenBank
Clavulina_coralloides,1,GenBank
Clavulina_iris_var._occidentalis,1,GenBank
Coltricia_perennis,1,GenBank
Cortinarius_acutus,1,GenBank
Cortinarius_ahsii,1,GenBank
Cortinarius_albomalus,1,GenBank
Cortinarius_alborufescens,1,GenBank
Cortinarius_ammiratii,1,GenBank
Cortinarius_ammophiloides,1,GenBank
Cortinarius_anomalosimilis,1,GenBank
Cortinarius_aurae,1,GenBank
Cortinarius_badiovinaceus,1,GenBank
Cortinarius_boreasensis,1,GenBank
Cortinarius_boulderensis,1,GenBank
Cortinarius_brunneoaffinis,1,GenBank
Cortinarius_brunneocalcarius,1,GenBank
Cortinarius_brunneoviscidus,1,GenBank
Cortinarius_brunneus,1,GenBank
Cortinarius_caesiifolius,1,GenBank
Cortinarius_calopus,1,GenBank
Cortinarius_caninus,1,GenBank
Cortinarius_carabus,1,GenBank
Cortinarius_catalanensis,1,GenBank
Cortinarius_clarobrunneus,1,GenBank
Cortinarius_compressus,1,GenBank
Cortinarius_cruentiphyllus,1,GenBank
Cortinarius_cyanites,1,GenBank
Cortinarius_delibutus,1,GenBank
Cortinarius_exsularis,1,GenBank
Cortinarius_flabellus,1,GenBank
Cortinarius_flavifolius,1,GenBank
Cortinarius_fuscescens,1,GenBank
Cortinarius_fuscoalbus,1,GenBank
Cortinarius_fuscodiscus,1,GenBank
Cortinarius_heterodepressus,1,GenBank
Cortinarius_hydrotelamonioides,1,GenBank
Cortinarius_idahoensis,1,GenBank
Cortinarius_jubarinus,1,GenBank
Cortinarius_laetus,1,GenBank
Cortinarius_largus,1,GenBank
Cortinarius_leiocastaneus,1,GenBank
Cortinarius_magispilomeus,1,GenBank
Cortinarius_malodorus,1,GenBank
Cortinarius_miwok,1,GenBank
Cortinarius_modestus,1,GenBank
Cortinarius_mucicola,1,GenBank
Cortinarius_mucosus,1,GenBank
Cortinarius_murinascens,1,GenBank
Cortinarius_nauseosouraceus,1,GenBank
Cortinarius_niveotraganus,1,GenBank
Cortinarius_odoritraganus,1,GenBank
Cortinarius_olivaceolamellatus,1,GenBank
Cortinarius_olivaceosquamosus,1,GenBank
Cortinarius_pacificus,1,GenBank
Cortinarius_paludosaniosus,1,GenBank
Cortinarius_paulus,1,GenBank
Cortinarius_perviolaceus,1,GenBank
Cortinarius_phrygianus,1,GenBank
Cortinarius_piceidisjungendus,1,GenBank
Cortinarius_pluvius,1,GenBank
Cortinarius_putorius,1,GenBank
Cortinarius_sagarum,1,GenBank
Cortinarius_smithii,1,GenBank
Cortinarius_sphagnoravus,1,GenBank
Cortinarius_squamulosus,1,GenBank
Cortinarius_subcarabus,1,GenBank
Cortinarius_subexitiosus,1,GenBank
Cortinarius_subobtusus,1,GenBank
Cortinarius_suboenochelis,1,GenBank
Cortinarius_subrufulus,1,GenBank
Cortinarius_timiskamingensis,1,GenBank
Cortinarius_urbicus,1,GenBank
Cortinarius_variipes,1,GenBank
Cortinarius_ventricosus,1,GenBank
Craterellus_fallax,1,GenBank
Craterellus_lutescens,1,GenBank
Elaphomyces_muricatus,1,GenBank
Gautieria_otthii,1,GenBank
Gomphidius_glutinosus,1,GenBank
Hebeloma_hiemale,1,GenBank
Hebeloma_mesophaeum,1,GenBank
Hebeloma_theobrominum,1,GenBank
Helvellosebacina_helvelloides,1,GenBank
Humaria_hemisphaerica,1,GenBank
Hydnellum_caeruleum,1,GenBank
Hydnellum_geogenium,1,GenBank
Hydnellum_illudens,1,GenBank
Hydnellum_peckii,1,GenBank
Hydnellum_versipelle,1,GenBank
Hydnotrya_cubispora,1,GenBank
Hydnum_olympicum,1,GenBank
Hydnum_oregonense,1,GenBank
Hygrophorus_camarophyllus,1,GenBank
Hygrophorus_fuligineus,1,GenBank
Hygrophorus_hedrychii,1,GenBank
Hygrophorus_occidentalis,1,GenBank
Hygrophorus_piceae,1,GenBank
Hygrophorus_pusillus,1,GenBank
Hygrophorus_sordidus,1,GenBank
Hygrophorus_tennesseensis,1,GenBank
Hygrophorus_whitei,1,GenBank
Hysterangium_crassirhachis,1,GenBank
Inocybe_acriolens,1,GenBank
Inocybe_aphroditeana,1,GenBank
Inocybe_aurea,1,GenBank
Inocybe_auricomella,1,GenBank
Inocybe_bellidiana,1,GenBank
Inocybe_borealis,1,GenBank
Inocybe_bufonia,1,GenBank
Inocybe_catalaunica,1,GenBank
Inocybe_chondroderma,1,GenBank
Inocybe_dulcamaroides,1,GenBank
Inocybe_dulciolens,1,GenBank
Inocybe_elysii,1,GenBank
Inocybe_ericetorum,1,GenBank
Inocybe_exilis,1,GenBank
Inocybe_griseolilacina,1,GenBank
Inocybe_griseovelata,1,GenBank
Inocybe_hirtella,1,GenBank
Inocybe_impexa,1,GenBank
Inocybe_leptophylla,1,GenBank
Inocybe_minima,1,GenBank
Inocybe_mixtilis,1,GenBank
Inocybe_multicoronata,1,GenBank
Inocybe_nematoloma,1,GenBank
Inocybe_nitidiuscula,1,GenBank
Inocybe_pipilikae,1,GenBank
Inocybe_posterula,1,GenBank
Inocybe_praetervisa,1,GenBank
Inocybe_pseudodestricta,1,GenBank
Inocybe_pseudoteraturgus,1,GenBank
Inocybe_putilla,1,GenBank
Inocybe_rimosa,1,GenBank
Inocybe_scolopacis,1,GenBank
Inocybe_stellatospora,1,GenBank
Inocybe_subcarpta,1,GenBank
Inocybe_subnudipes,1,GenBank
Inocybe_teraturgus,1,GenBank
Inocybe_tubarioides,1,GenBank
Inocybe_ventricosa,1,GenBank
Laccaria_longipes,1,GenBank
Lactarius_controversus,1,GenBank
Lactarius_lanceolatus,1,GenBank
Lactarius_lilacinus,1,GenBank
Lactarius_miniatosporus,1,GenBank
Lactarius_necator,1,GenBank
Lactarius_omphaliiformis,1,GenBank
Lactarius_picinus,1,GenBank
Lactarius_pubescens,1,GenBank
Lactarius_sphagneti,1,GenBank
Lactifluus_vellereus,1,GenBank
Lactifluus_volemus,1,GenBank
Leccinum_manzanitae,1,GenBank
Leucangium_carthusianum,1,GenBank
Naucoria_tantilla,1,GenBank
Neoalbatrellus_subcaeruleoporus,1,GenBank
Otidea_cantharella,1,GenBank
Phaeocollybia_ammiratii,1,GenBank
Polyozellus_humicola,1,GenBank
Polyozellus_mucidulus,1,GenBank
Ramaria_aurea,1,GenBank
Ramaria_coulterae,1,GenBank
Ramaria_formosa,1,GenBank
Ramaria_longispora,1,GenBank
Ramaria_marrii,1,GenBank
Ramaria_pallida,1,GenBank
Rhizopogon_evadens,1,GenBank
Rhizopogon_pseudoroseolus,1,GenBank
Rubroboletus_pulcherrimus,1,GenBank
Russula_alachuana,1,GenBank
Russula_arvernensis,1,GenBank
Russula_atroaeruginea,1,GenBank
Russula_borealis,1,GenBank
Russula_corallina,1,GenBank
Russula_crenulata,1,GenBank
Russula_flavida,1,GenBank
Russula_flavisiccans,1,GenBank
Russula_helodes,1,GenBank
Russula_nigrescentipes,1,GenBank
Russula_nigrifacta,1,GenBank
Russula_olivobrunnea,1,GenBank
Russula_paludosa,1,GenBank
Russula_parapallens,1,GenBank
Russula_polycystis,1,GenBank
Russula_redolens,1,GenBank
Russula_saliceticola,1,GenBank
Russula_subemetica,1,GenBank
Russula_suecica,1,GenBank
Russula_viscida,1,GenBank
Sarcodon_imbricatus,1,GenBank
Scleroderma_areolatum,1,GenBank
Scleroderma_bovista,1,GenBank
Scleroderma_michiganense,1,GenBank
Suillus_cothurnatus,1,GenBank
Tarzetta_gregaria,1,GenBank
Thaxterogaster_oregonensis,1,GenBank
Thaxterogaster_pinophilus,1,GenBank
Thaxterogaster_subporphyropus,1,GenBank
Thelephora_alnii,1,GenBank
Thelephora_atra,1,GenBank
Tomentella_coerulea,1,GenBank
Tomentellopsis_echinospora,1,GenBank
Tomentellopsis_submollis,1,GenBank
Tricholoma_apium,1,GenBank
Tricholoma_atroviolaceum,1,GenBank
Tricholoma_boreosulphurescens,1,GenBank
Tricholoma_brunneoluteum,1,GenBank
Tricholoma_intermedium,1,GenBank
Tricholoma_scalpturatum,1,GenBank
Tricholoma_sejunctum,1,GenBank
Tricholoma_triste,1,GenBank
Tuber_wenchuanense,1,GenBank
Tylopilus_appalachiensis,1,GenBank
Xerocomellus_rainisiae,1,GenBank
Xerocomus_ferrugineus,1,GenBank
Tylospora_asterophora,283,Combined
Piloderma_sphaerosporum,281,Combined
Amanita_fulva,210,Combined
Clavulina_coralloides,180,Combined
Amanita_muscaria,169,Combined
Tricholoma_portentosum,169,Combined
Russula_decolorans,167,Combined
Piloderma_olivaceum,163,Combined
Russula_adusta,154,Combined
Cortinarius_alpinus,152,Combined
Russula_emetica,150,Combined
Hygrophorus_albicastaneus,131,Combined
Hygrophorus_hypothejus,127,Combined
Polyozellus_umbrinus,122,Combined
Tomentella_stuposa,122,Combined
Amanita_flavoconia,120,Combined
Lactarius_mammosus,119,Combined
Lactarius_tabidus,114,Combined
Tomentella_coerulea,114,Combined
Cortinarius_casimiri,108,Combined
Cortinarius_illuminoides,107,Combined
Lactarius_camphoratus,107,Combined
Lactarius_vietus,107,Combined
Cortinarius_acutovelatus,105,Combined
Inocybe_caprimulgi,105,Combined
Tricholoma_saponaceum,104,Combined
Cortinarius_raphanoides,103,Combined
Cortinarius_comptulus,102,Combined
Elaphomyces_borealis,97,Combined
Tricholoma_fulvum,96,Combined
Tomentella_terrestris,95,Combined
Cortinarius_armillatus,91,Combined
Tricholoma_columbetta,91,Combined
Tomentella_badia,90,Combined
Tricholoma_vaccinum,90,Combined
Cortinarius_emunctus,88,Combined
Elaphomyces_muricatus,87,Combined
Lactarius_vinaceorufescens,87,Combined
Cortinarius_dolabratus,85,Combined
Amanita_porphyria,83,Combined
Laccaria_populina,83,Combined
Cortinarius_croceus,82,Combined
Paxillus_involutus,82,Combined
Russula_aeruginea,81,Combined
Cortinarius_malicorius,77,Combined
Tomentellopsis_echinospora,77,Combined
Cortinarius_malachius,75,Combined
Inocybe_elysii,74,Combined
Cortinarius_aurantiobasis,73,Combined
Cortinarius_clintonianus,73,Combined
Cortinarius_cinnamomeus,72,Combined
Genea_hispidula,72,Combined
Leccinum_rotundifoliae,70,Combined
Tylopilus_felleus,70,Combined
Cortinarius_athabascus,69,Combined
Cortinarius_infractus,69,Combined
Hebeloma_incarnatulum,69,Combined
Inocybe_occulta,69,Combined
Tricholoma_virgatum,69,Combined
Cortinarius_modestus,67,Combined
Cortinarius_junghuhnii,66,Combined
Cortinarius_privignipallens,63,Combined
Hebeloma_monticola,62,Combined
Inocybe_geophylla,62,Combined
Lyophyllum_shimeji,62,Combined
Russula_pascua,62,Combined
Cortinarius_camphoratus,61,Combined
Cortinarius_humboldtensis,61,Combined
Elaphomyces_papillatus,61,Combined
Cortinarius_kauffmanianus,60,Combined
Thaxterogaster_scaurus,60,Combined
Cortinarius_aureovelatus,59,Combined
Cortinarius_agathosmus,58,Combined
Cortinarius_armeniacus,58,Combined
Hydnotrya_tulasnei,58,Combined
Hygrophorus_pustulatoides,58,Combined
Russula_aeruginosa,58,Combined
Suillus_glandulosipes,58,Combined
Cortinarius_harvardensis,56,Combined
Leccinum_manzanitae,56,Combined
Inocybe_avia,55,Combined
Lactarius_rufus,55,Combined
Russula_versicolor,55,Combined
Tricholoma_fulvimarginatum,55,Combined
Cortinarius_glandicolor,54,Combined
Cortinarius_illibatus,54,Combined
Laccaria_griseolilacina,54,Combined
Amanita_augusta,53,Combined
Clavulina_cinerea,53,Combined
Cortinarius_lucorum,53,Combined
Cortinarius_saniosus,53,Combined
Inocybe_lacera,53,Combined
Inocybe_mortenii,53,Combined
Lactarius_lignyotus,53,Combined
Russula_hypofragilis,53,Combined
Cortinarius_millaresensis,52,Combined
Hebeloma_asperulatum,52,Combined
Hydnellum_aurantiacum,52,Combined
Cortinarius_centrirufus,51,Combined
Cortinarius_idahoensis,51,Combined
Inocybe_rufoalba,51,Combined
Rhizopogon_evadens,50,Combined
Russula_peckii,50,Combined
Tomentella_bryophila,50,Combined
Cortinarius_caperatus,49,Combined
Cortinarius_decipiens,49,Combined
Cortinarius_fulvescens,49,Combined
Cortinarius_hydrotelamonioides,49,Combined
Inocybe_ericetorum,49,Combined
Lactarius_helvus,49,Combined
Lactarius_necator,49,Combined
Amanita_olivaceogrisea,48,Combined
Elaphomyces_miyabeanus,48,Combined
Piloderma_lanatum,47,Combined
Hydnellum_scabrosum,46,Combined
Inocybe_soluta,46,Combined
Alnicola_sphagneti,45,Combined
Alpova_cinnamomeus,45,Combined
Cortinarius_fuscodiscus,45,Combined
Tomentellopsis_submollis,45,Combined
Amanita_brunnescens,44,Combined
Cortinarius_grosmorneensis,44,Combined
Inocybe_acriolens,44,Combined
Russula_aquosa,44,Combined
Tricholoma_albobrunneum,43,Combined
Leccinum_insigne,42,Combined
Rhizopogon_pseudoroseolus,42,Combined
Wilcoxina_mikolae,42,Combined
Cortinarius_flabellus,41,Combined
Hygrophorus_agathosmoides,41,Combined
Hygrophorus_speciosus,41,Combined
Tomentella_botryoides,41,Combined
Inocybe_napipes,40,Combined
Lactarius_trivialis,40,Combined
Tomentella_cinerascens,40,Combined
Amanita_rubescens,39,Combined
Inocybe_striipes,39,Combined
Tuber_anniae,39,Combined
Cortinarius_cistopulchripes,38,Combined
Thelephora_alnii,38,Combined
Hygrophorus_pustulatus,37,Combined
Inocybe_undulatospora,37,Combined
Ramaria_flava,37,Combined
Tomentella_ellisii,37,Combined
Inocybe_minima,36,Combined
Hebeloma_mesophaeum,35,Combined
Inocybe_pseudodestricta,35,Combined
Cortinarius_traganus,34,Combined
Lactarius_hengduanensis,34,Combined
Russula_griseascens,34,Combined
Suillus_cavipes,34,Combined
Thaxterogaster_comarostaphylidis,34,Combined
Tricholoma_imbricatoides,34,Combined
Cortinarius_roseomyceliosus,33,Combined
Elaphomyces_leveillei,33,Combined
Gautieria_otthii,33,Combined
Russula_farinipes,33,Combined
Russula_vinosa,33,Combined
Cortinarius_pholideus,32,Combined
Inocybe_giacomi,32,Combined
Scleroderma_septentrionale,32,Combined
Thelephora_caryophyllea,32,Combined
Cortinarius_acutispissipes,31,Combined
Cortinarius_aurae,31,Combined
Hygrophorus_aurorae,31,Combined
Leccinum_holopus,31,Combined
Russula_vesca,31,Combined
Laccaria_araneosa,30,Combined
Thaxterogaster_multiformis,30,Combined
Cortinarius_neofurvolaesus,29,Combined
Cortinarius_parvannulatus,29,Combined
Cortinarius_valgus,29,Combined
Humaria_hemisphaerica,29,Combined
Polyozellus_humicola,29,Combined
Russula_variata,29,Combined
Sebacina_incrustans,29,Combined
Suillus_variegatus,29,Combined
Thaxterogaster_talus,29,Combined
Tricholoma_focale,29,Combined
Amanita_rhacopus,28,Combined
Cortinarius_caesiobrunneus,28,Combined
Inocybe_pseudoasterospora,28,Combined
Inocybe_subcarpta,28,Combined
Phellodon_melaleucus,28,Combined
Piloderma_bicolor,28,Combined
Piloderma_byssinum,28,Combined
Cortinarius_orasericeus,27,Combined
Cortinarius_parvoacetosus,27,Combined
Inocybe_ochroalba,27,Combined
Cortinarius_ultimiionophyllus,26,Combined
Hebeloma_perexiguum,26,Combined
Hygrophorus_whitei,26,Combined
Inocybe_flocculosa,26,Combined
Inocybe_sambucina,26,Combined
Lactarius_flexuosus,26,Combined
Suillus_spraguei,26,Combined
Tricholoma_pessundatum,26,Combined
Cortinarius_heterodepressus,25,Combined
Cortinarius_imbutus,25,Combined
Cortinarius_paulus,25,Combined
Hydnum_umbilicatum,25,Combined
Suillus_acidus,25,Combined
Tricholoma_ammophilum,25,Combined
Alpova_diplophloeus,24,Combined
Cortinarius_gentilis,24,Combined
Phellodon_tomentosus,24,Combined
Suillus_viscidus,24,Combined
Tomentella_muricata,24,Combined
Tricholoma_argyraceum,24,Combined
Cortinarius_andreae,23,Combined
Cortinarius_atroalbus,23,Combined
Hydnum_repandum,23,Combined
Russula_atroglauca,23,Combined
Tricholoma_stans,23,Combined
Cortinarius_colymbadinus,22,Combined
Cortinarius_subobtusus,22,Combined
Craterellus_tubaeformis,22,Combined
Hymenogaster_rubyensis,22,Combined
Lactarius_pseudoscrobiculatus,22,Combined
Russula_aurantioflammans,22,Combined
Amanita_detersa,21,Combined
Cortinarius_balteatus,21,Combined
Cortinarius_ferrugineovelatus,21,Combined
Cortinarius_hadrocroceus,21,Combined
Geopora_cooperi,21,Combined
Inocybe_leptophylla,21,Combined
Russula_vinososordida,21,Combined
Suillus_luteus,21,Combined
Cortinarius_nigrocuspidatus,20,Combined
Cortinarius_tillamookensis,20,Combined
Inocybe_nodulosa,20,Combined
Leotia_lubrica,20,Combined
Naucoria_alnetorum,20,Combined
Otidea_leporina,20,Combined
Tricholoma_triste,20,Combined
Wilcoxina_rehmii,20,Combined
Amanita_griseopantherina,19,Combined
Cortinarius_bivelosimilis,19,Combined
Cortinarius_boulderensis,19,Combined
Cortinarius_minusculus,19,Combined
Cortinarius_olididisjungendus,19,Combined
Cortinarius_pinisquamulosus,19,Combined
Cortinarius_roseivelatus,19,Combined
Cortinarius_sphagnoravus,19,Combined
Hebeloma_hiemale,19,Combined
Hymenogaster_rehsteineri,19,Combined
Inocybe_argenteolutea,19,Combined
Inocybe_lanuginosa,19,Combined
Laccaria_longipes,19,Combined
Lactarius_badiosanguineus,19,Combined
Lactarius_omphaliiformis,19,Combined
Polyozellus_plurilobus,19,Combined
Rhizopogon_salebrosus,19,Combined
Russula_postiana,19,Combined
Cortinarius_brunneifolius,18,Combined
Cortinarius_francescae,18,Combined
Cortinarius_subminiatopus,18,Combined
Hydnellum_gracilipes,18,Combined
Polyozellus_sciastrus,18,Combined
Suillus_sinuspaulianus,18,Combined
Trichophaea_abundans,18,Combined
Byssoporia_terrestris,17,Combined
Chroogomphus_jamaicensis,17,Combined
Cortinarius_ammiratii,17,Combined
Cortinarius_angelesianus,17,Combined
Cortinarius_fuscescens,17,Combined
Cortinarius_lindstroemii,17,Combined
Cortinarius_obtusus,17,Combined
Cortinarius_pelargoniostriatulus,17,Combined
Hygrophorus_siccipes,17,Combined
Hymenogaster_parksii,17,Combined
Inocybe_fuscescentipes,17,Combined
Inocybe_sororia,17,Combined
Inocybe_venerabilis,17,Combined
Rhizopogon_succosus,17,Combined
Russula_rugulosa,17,Combined
Scleroderma_citrinum,17,Combined
Boletus_edulis,16,Combined
Cortinarius_clandestinus,16,Combined
